date,total_admissions,total_deaths,avg_icu_utilization,avg_bed_occupancy,year,month,day_of_week,is_weekend,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_std_7
2021-10-10,6075.0,947.0,0.7456782739904286,0.7190825046467066,2021,10,6,1,6884.0,6502.0,7486.0,7018.714285714285,7347.571428571428,576.3652529099269
2021-10-11,5974.0,969.0,0.7423012085927951,0.7207720444709234,2021,10,0,0,6075.0,6500.0,7339.0,6943.571428571428,7250.071428571428,680.198465435619
2021-10-12,6940.0,971.0,0.7643579537693898,0.7436105398526975,2021,10,1,0,5974.0,7598.0,8583.0,6849.571428571428,7132.714285714285,617.238975098762
2021-10-13,6781.0,954.0,0.7721364304046723,0.7555772865075909,2021,10,2,0,6940.0,7610.0,8196.0,6731.142857142857,7031.642857142857,518.6805145660408
2021-10-14,6539.0,914.0,0.7659064560710184,0.7536580865276163,2021,10,3,0,6781.0,7372.0,7948.0,6612.142857142857,6931.0,436.1327888657594
2021-10-15,6571.0,983.0,0.7630569349387637,0.7478455502473118,2021,10,4,0,6539.0,7092.0,7829.0,6537.714285714285,6841.142857142857,381.6463084610142
2021-10-16,6238.0,1100.0,0.7532343634263535,0.7308606529232716,2021,10,5,1,6571.0,6884.0,7338.0,6445.428571428572,6762.571428571428,361.5295548743326
2021-10-17,5416.0,952.0,0.7442661418173108,0.7180463190753621,2021,10,6,1,6238.0,6075.0,6502.0,6351.285714285715,6685.0,523.559520425887
2021-10-18,5352.0,850.0,0.7458043894611388,0.7209729067317681,2021,10,0,0,5416.0,5974.0,6500.0,6262.428571428572,6603.0,638.4415549191888
2021-10-19,6122.0,918.0,0.7626386273788559,0.7443993859451874,2021,10,1,0,5352.0,6940.0,7598.0,6145.571428571428,6497.571428571428,564.3098608456445
2021-10-20,5931.0,935.0,0.7753743427588021,0.7553212779922602,2021,10,2,0,6122.0,6781.0,7610.0,6024.142857142857,6377.642857142857,491.550414020597
2021-10-21,5965.0,899.0,0.7723727768562081,0.7554097891319977,2021,10,3,0,5931.0,6539.0,7372.0,5942.142857142857,6277.142857142857,436.09686560497823
2021-10-22,5764.0,824.0,0.7594030265092593,0.7476116662133121,2021,10,4,0,5965.0,6571.0,7092.0,5826.857142857143,6182.285714285715,337.718042441451
2021-10-23,5537.0,850.0,0.7522310221989504,0.7283429251276148,2021,10,5,1,5764.0,6238.0,6884.0,5726.714285714285,6086.071428571428,296.95662662289095
2021-10-24,4843.0,743.0,0.7299033501906427,0.7134027615951536,2021,10,6,1,5537.0,5416.0,6075.0,5644.857142857143,5998.071428571428,440.94649281269716
2021-10-25,4947.0,805.0,0.733547996850769,0.7223739018519836,2021,10,0,0,4843.0,5352.0,5974.0,5587.0,5924.714285714285,507.3476782904155
2021-10-26,5514.0,753.0,0.7502616555229389,0.7472848513876615,2021,10,1,0,4947.0,6122.0,6940.0,5500.142857142857,5822.857142857143,449.20389897812635
2021-10-27,5546.0,816.0,0.7583964014960034,0.7597958099111654,2021,10,2,0,5514.0,5931.0,6781.0,5445.142857142857,5734.642857142857,409.470157061314
2021-10-28,5412.0,760.0,0.7610156063940117,0.7556644637000298,2021,10,3,0,5546.0,5965.0,6539.0,5366.142857142857,5654.142857142857,339.89087884763364
2021-10-29,5413.0,795.0,0.7519988457822951,0.7477589389006423,2021,10,4,0,5412.0,5764.0,6571.0,5316.0,5571.428571428572,294.23913177324613
